"Model","Climate_Scenario","component","BC19-CR","BC38-CR","BC57-CR","BC76-CR","BC96-CR","CC-CR","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"APSIM",1,"N2O_profile_last",5.23038529904746,5.17575032234991,5.09896312312782,5.01582106553436,4.92855631198338,2.22348443191123,4.78286151424457,4.32943485130835,3.91329573636098,3.56759362104399,5.41015469052269,5.47645456064157,4.09519726177978,4.18345908616048,3.5584569129189,3.60138008914996,"N2O_profile_last"
"APSIM",1,"N2O_profile_change",3.44956780353063,3.51129105255412,3.51178765108786,3.47758246339363,3.42575688378579,1.03404779131391,3.07700701640448,2.7408126784469,2.38831352710265,2.07832545960899,3.42401595204224,3.41435738412161,2.63855162325673,2.68279808168591,2.25326578958308,2.21488819944677,"N2O_profile_change"
"APSIM",1,"NO3_0to60cm_last",24.752650771843,24.8379960327647,24.7492445686073,24.5472659241282,24.3044295732832,10.4967376349827,21.1414530002285,19.2510655782063,17.5021030443778,15.9818788710865,24.3512086998539,23.065910064162,18.6052094215584,17.8268711749024,16.4133330082027,15.638851313485,"NO3_0to60cm_last"
"APSIM",1,"NO3_0to60cm_change",7.416442027046,8.14258949752807,8.47324366890241,8.54219045850122,8.50260914653716,0.77604702221767,6.00252458049238,5.64748614128391,5.08470080172639,4.57236801406653,6.41363341177134,5.63699384430769,4.17040751377187,3.91537376971295,2.74416979279549,2.34535746076679,"NO3_0to60cm_change"
"APSIM",1,"SoilT_20cm_last",13.1941598571051,13.1941867766378,13.1942490166938,13.1942801607857,13.1943074920792,13.1949619565077,13.1942898879668,13.1942898879668,13.1943191390284,13.1943071605315,13.1941149056565,13.1940488795399,13.1943071926168,13.1933004106486,13.1942998237022,13.1932934321046,"SoilT_20cm_last"
"APSIM",1,"SoilT_20cm_change",0.96507575650776,0.965091831222786,0.965159664809153,0.965203070817859,0.965238851229648,0.964678444739642,0.964977056901928,0.964977056901928,0.964960030324177,0.9648605446295,0.965042500136382,0.964910447902833,0.964992784026759,0.964659733687157,0.964959164022297,0.964626894424191,"SoilT_20cm_change"
"APSIM",1,"SW_20cm_last",0.248755456633136,0.251742461675226,0.254873827390716,0.257279723998319,0.259778087115329,0.253220595891718,0.250945545646202,0.251088766223377,0.251403707644249,0.251782015313653,0.243149459128085,0.244026527343914,0.250432997529007,0.251291217259131,0.250295310054836,0.250966007485705,"SW_20cm_last"
"APSIM",1,"SW_20cm_change",0.0171143875873735,0.0171084127773624,0.0174289236644225,0.0175975899912004,0.0179172014215393,0.0161390769798587,0.0154371637999167,0.0152364448334438,0.0152960859833517,0.0152898614430458,0.0147845678029991,0.0146278281018049,0.016092581160726,0.0160435372373103,0.0166952273604283,0.0164656252432844,"SW_20cm_change"
"APSIM",1,"WFPS_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"CH4_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_10cm_last.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"CH4_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"WFPS_10cm_change.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"N2O_profile_last",5.65834416103891,5.63857899679661,5.5911456100734,5.52598024157633,5.44832997240239,2.32856488249095,5.11237957867349,4.67887908113806,4.28474738526525,3.97843359067851,5.86534539354068,5.9334613829303,4.78870501913993,4.80474699863787,4.47540559671737,4.49851111775633,"N2O_profile_last"
"APSIM",5,"N2O_profile_change",2.75228311059996,2.89032642259929,2.96593359175354,2.99030073995214,2.97910329828088,0.504263450781766,2.22660394586873,1.97611541303649,1.72577120557565,1.5670635559798,2.63640830974386,2.88135252417131,2.39057846728244,2.55989996404175,2.40184971307115,2.55610456179441,"N2O_profile_change"
"APSIM",5,"NO3_0to60cm_last",37.6337642437162,37.753931802567,37.6851652037928,37.4808503299648,37.1456611745258,12.6469660552927,31.7876901372479,28.2158741126286,24.9737276643813,22.185038263811,37.218446730127,36.3943322618996,30.6240599286338,29.8546313414376,28.6728728649399,27.856806101718,"NO3_0to60cm_last"
"APSIM",5,"NO3_0to60cm_change",18.8177739557155,19.6444950250753,20.1138349393104,20.2730299650712,20.1720436481725,2.8234071861023,14.4350101838613,12.050177228254,9.82249309309121,7.97136051551,17.8153300161573,18.8577166386242,15.2456840566395,15.826672048408,14.8173469383185,15.0989029889128,"NO3_0to60cm_change"
"APSIM",5,"SoilT_20cm_last",17.1082832963711,17.108281424731,17.1082892481868,17.1083086169884,17.1082712483562,17.1102210481869,17.1075432124275,17.1075432124275,17.1075393728914,17.1075627683932,17.1082792643235,17.1080568974324,17.1075432124275,17.1057728975385,17.107523608334,17.1057728975385,"SoilT_20cm_last"
"APSIM",5,"SoilT_20cm_change",3.95255601871716,3.95257115761221,3.95256792234847,3.95258777777645,3.95245639398621,3.95325931690924,3.95135908345808,3.95135908345808,3.95133252221125,3.95132266668903,3.9525668367973,3.95217874954095,3.95135908345808,3.9497821999046,3.95133875744638,3.9497821999046,"SoilT_20cm_change"
"APSIM",5,"SW_20cm_last",0.227423267567107,0.229799274081698,0.232057206306507,0.234002790668922,0.235876105123288,0.232204044496694,0.229639213556064,0.230036311957706,0.230273440741948,0.230810089701829,0.223404395766115,0.224720282311781,0.228641516529042,0.229709097390314,0.228107771819902,0.229100801511173,"SW_20cm_last"
"APSIM",5,"SW_20cm_change",-0.0176629059527089,-0.0186963914128479,-0.0197186689572148,-0.020519720776336,-0.0212330616562288,-0.0184638898585964,-0.0182801076311455,-0.0177955785015873,-0.0174440550720665,-0.0168371468804116,-0.0178324471385214,-0.0187033175517317,-0.018500577213895,-0.0197358837692962,-0.0183690485052859,-0.0197138048327275,"SW_20cm_change"
"APSIM",5,"WFPS_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"CH4_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_5cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_last.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"CH4_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"SoilT_10cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_2cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_5cm_change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",5,"WFPS_10cm_change.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
