"date","year","soil_temperature"
2004-01-01,2004,9.32524210526316
2004-01-02,2004,10.4089473684211
2004-01-03,2004,10.6932105263158
2004-01-04,2004,9.632
2004-01-05,2004,5.52401052631579
2004-01-06,2004,3.23333684210526
2004-01-07,2004,4.02562105263158
2004-01-08,2004,6.46798947368421
2004-01-09,2004,6.63858947368421
2004-01-10,2004,6.95876842105263
2004-01-11,2004,7.43641758241758
2004-01-12,2004,8.21396842105263
2004-01-13,2004,8.50327368421052
2004-01-14,2004,9.12774736842105
2004-01-15,2004,9.74973684210526
2004-01-16,2004,10.3842105263158
2004-01-17,2004,6.24792631578948
2004-01-18,2004,4.48797802197802
2004-01-19,2004,4.07077894736842
2004-01-20,2004,3.49732692307692
2004-01-21,2004,2.82536170212766
2004-01-22,2004,4.87092207792208
2004-01-23,2004,5.63374736842105
2004-01-24,2004,7.30234736842105
2004-01-25,2004,7.67065957446809
2004-01-26,2004,5.27104210526316
2004-01-27,2004,3.25498947368421
2004-01-28,2004,3.90804210526316
2004-01-29,2004,6.74761052631579
2004-01-30,2004,5.56170526315789
2004-01-31,2004,7.16450526315789
2004-02-01,2004,6.24761052631579
2004-02-02,2004,5.18421052631579
2004-02-03,2004,3.86527368421053
2004-02-04,2004,4.8236
2004-02-05,2004,6.64597894736842
2004-02-06,2004,4.47701052631579
2004-02-07,2004,4.80907368421053
2004-02-08,2004,6.171
2004-02-09,2004,6.67603157894737
2004-02-10,2004,5.84398947368421
2004-02-11,2004,6.26136842105263
2004-02-12,2004,2.53766315789474
2004-02-13,2004,0.742568421052632
2004-02-14,2004,3.14458947368421
2004-02-15,2004,4.06178947368421
2004-02-16,2004,5.80570526315789
2004-02-17,2004,6.90451578947369
2004-02-18,2004,8.71512631578948
2004-02-19,2004,10.8928421052632
2004-02-20,2004,9.55333684210527
2004-02-21,2004,9.53136842105263
2004-02-22,2004,10.8218210526316
2004-02-23,2004,9.90042105263158
2004-02-24,2004,5.7341052631579
2004-02-25,2004,2.305
2004-02-26,2004,3.89947368421053
2004-02-27,2004,6.31803157894737
2004-02-28,2004,8.03648421052631
2004-02-29,2004,7.38294736842105
2004-03-01,2004,6.79013684210526
2004-03-02,2004,4.93333684210526
2004-03-03,2004,5.95343157894737
2004-03-04,2004,7.27908421052631
2004-03-05,2004,7.29592631578947
2004-03-06,2004,7.5634947368421
2004-03-07,2004,8.09349473684211
2004-03-08,2004,8.85502105263158
2004-03-09,2004,10.8751052631579
2004-03-10,2004,11.6410736842105
2004-03-11,2004,10.6845263157895
2004-03-12,2004,7.9718947368421
2004-03-13,2004,9.92063157894737
2004-03-14,2004,9.60821052631579
2004-03-15,2004,11.9872631578947
2004-03-16,2004,11.3180315789474
2004-03-17,2004,13.5801052631579
2004-03-18,2004,15.7027368421053
2004-03-19,2004,18.6049473684211
2004-03-20,2004,20.5141052631579
2004-03-21,2004,15.5425263157895
2004-03-22,2004,14.9296842105263
2004-03-23,2004,16.89
2004-03-24,2004,20.2412631578947
2004-03-25,2004,20.2347368421053
2004-03-26,2004,18.5572631578947
2004-03-27,2004,21.4171578947368
2004-03-28,2004,18.53
2004-03-29,2004,17.8062105263158
2004-03-30,2004,18.9807368421053
2004-03-31,2004,19.3673684210526
2004-04-01,2004,20.772
2004-04-02,2004,17.8244210526316
2004-04-03,2004,16.6106315789474
2004-04-04,2004,10.3598947368421
2004-04-05,2004,11.0444210526316
2004-04-06,2004,13.453052631579
2004-04-07,2004,13.7808421052632
2004-04-08,2004,14.7898947368421
2004-04-09,2004,14.8774736842105
2004-04-10,2004,8.40235789473684
2004-04-11,2004,6.46957894736842
2004-04-12,2004,6.82081052631579
2004-04-13,2004,10.6337789473684
2004-04-14,2004,15.329347368421
2004-04-15,2004,19.1136842105263
2004-04-16,2004,21.9007368421053
2004-04-17,2004,21.0628421052632
2004-04-18,2004,19.6642105263158
2004-04-19,2004,20.2587368421053
2004-04-20,2004,20.2898947368421
2004-04-21,2004,19.7818947368421
2004-04-22,2004,20.4182105263158
2004-04-23,2004,19.9047368421053
2004-04-24,2004,18.5087368421053
2004-04-25,2004,20.0721052631579
2004-04-26,2004,20.3461052631579
2004-04-27,2004,21.2288421052631
2004-04-28,2004,21.022
2004-04-29,2004,22.4082105263158
2004-04-30,2004,18.7477894736842
2004-05-01,2004,12.8548736842105
2004-05-02,2004,17.9886736842105
2004-05-03,2004,20.8874736842105
2004-05-04,2004,23.4490526315789
2004-05-05,2004,24.9202105263158
2004-05-06,2004,26.0234736842105
2004-05-07,2004,26.3428421052632
2004-05-08,2004,26.6273684210526
2004-05-09,2004,21.4273684210526
2004-05-10,2004,23.834
2004-05-11,2004,23.5922105263158
2004-05-12,2004,26.4150526315789
2004-05-13,2004,23.5848421052632
2004-05-14,2004,20.8368421052632
2004-05-15,2004,22.2097894736842
2004-05-16,2004,23.1023157894737
2004-05-17,2004,26.2234736842105
2004-05-18,2004,29.0430526315789
2004-05-19,2004,29.5288421052632
2004-05-20,2004,28.0917894736842
2004-05-21,2004,28.3457894736842
2004-05-22,2004,29.1493684210526
2004-05-23,2004,29.6763157894737
2004-05-24,2004,30.2147368421053
2004-05-25,2004,28.7203157894737
2004-05-26,2004,29.3009473684211
2004-05-27,2004,23.9415789473684
2004-05-28,2004,27.1631578947368
2004-05-29,2004,29.7982105263158
2004-05-30,2004,28.2451578947368
2004-05-31,2004,27.7868421052632
2004-06-01,2004,28.3147368421053
2004-06-02,2004,27.8794736842105
2004-06-03,2004,18.8749473684211
2004-06-04,2004,23.088
2004-06-05,2004,23.1334736842105
2004-06-06,2004,23.5653684210526
2004-06-07,2004,26.5130526315789
2004-06-08,2004,25.5742105263158
2004-06-09,2004,27.4516842105263
2004-06-10,2004,28.728
2004-06-11,2004,29.5992631578948
2004-06-12,2004,29.0111578947368
2004-06-13,2004,30.1086315789474
2004-06-14,2004,31.5953684210526
2004-06-15,2004,30.5914736842105
2004-06-16,2004,29.3334736842105
2004-06-17,2004,24.731052631579
2004-06-18,2004,27.6992631578947
2004-06-19,2004,24.6244210526316
2004-06-20,2004,27.0528421052631
2004-06-21,2004,29.6177894736842
2004-06-22,2004,22.6434736842105
2004-06-23,2004,27.0666315789474
2004-06-24,2004,27.2877894736842
2004-06-25,2004,26.6704210526316
2004-06-26,2004,25.246947368421
2004-06-27,2004,27.0073684210526
2004-06-28,2004,23.8236842105263
2004-06-29,2004,22.722
2004-06-30,2004,26.4349473684211
2004-07-01,2004,29.7474736842105
2004-07-02,2004,31.5664210526316
2004-07-03,2004,31.2051578947368
2004-07-04,2004,31.7678947368421
2004-07-05,2004,32.1352631578947
2004-07-06,2004,30.679052631579
2004-07-07,2004,28.1101052631579
2004-07-08,2004,31.5255789473684
2004-07-09,2004,31.3771578947368
2004-07-10,2004,29.566
2004-07-11,2004,31.3585263157895
2004-07-12,2004,31.6233684210526
2004-07-13,2004,32.2369473684211
2004-07-14,2004,34.1998947368421
2004-07-15,2004,34.0052631578947
2004-07-16,2004,33.8149473684211
2004-07-17,2004,33.6836842105263
2004-07-18,2004,30.3043157894737
2004-07-19,2004,33.5349473684211
2004-07-20,2004,33.121052631579
2004-07-21,2004,32.320947368421
2004-07-22,2004,33.2103157894737
2004-07-23,2004,31.0255789473684
2004-07-24,2004,24.8133684210526
2004-07-25,2004,19.2977894736842
2004-07-26,2004,21.1586315789474
2004-07-27,2004,21.3391578947368
2004-07-28,2004,24.7005263157895
2004-07-29,2004,21.8625263157895
2004-07-30,2004,25.1004210526316
2004-07-31,2004,27.5557894736842
2004-08-01,2004,29.2452631578947
2004-08-02,2004,30.7558947368421
2004-08-03,2004,31.4935789473684
2004-08-04,2004,32.7533684210526
2004-08-05,2004,30.6318947368421
2004-08-06,2004,29.0885263157895
2004-08-07,2004,26.6097894736842
2004-08-08,2004,26.5661052631579
2004-08-09,2004,27.4373684210526
2004-08-10,2004,29.6023157894737
2004-08-11,2004,24.9496842105263
2004-08-12,2004,27.2116842105263
2004-08-13,2004,28.1943157894737
2004-08-14,2004,27.5084210526316
2004-08-15,2004,27.9142105263158
2004-08-16,2004,27.4597894736842
2004-08-17,2004,27.7997894736842
2004-08-18,2004,27.8973684210526
2004-08-19,2004,26.6632631578947
2004-08-20,2004,25.1156842105263
2004-08-21,2004,25.2265263157895
2004-08-22,2004,28.4424210526316
2004-08-23,2004,31.4575789473684
2004-08-24,2004,31.7538947368421
2004-08-25,2004,32.5642105263158
2004-08-26,2004,33.8913684210526
2004-08-27,2004,33.5211578947368
2004-08-28,2004,26.5478947368421
2004-08-29,2004,30.2044210526316
2004-08-30,2004,27.2468421052632
2004-08-31,2004,20.6921052631579
2004-09-01,2004,22.2558947368421
2004-09-02,2004,25.4794736842105
2004-09-03,2004,24.8054736842105
2004-09-04,2004,26.184
2004-09-05,2004,30.1695789473684
2004-09-06,2004,27.9275789473684
2004-09-07,2004,26.3667368421053
2004-09-08,2004,26.4621052631579
2004-09-09,2004,27.4236842105263
2004-09-10,2004,27.2715789473684
2004-09-11,2004,29.499052631579
2004-09-12,2004,30.378
2004-09-13,2004,30.0778947368421
2004-09-14,2004,30.3646315789474
2004-09-15,2004,31.7303157894737
2004-09-16,2004,29.0984210526316
2004-09-17,2004,30.6998947368421
2004-09-18,2004,28.9827368421053
2004-09-19,2004,25.9244210526316
2004-09-20,2004,25.8607368421053
2004-09-21,2004,21.7117894736842
2004-09-22,2004,19.7341052631579
2004-09-23,2004,23.7821052631579
2004-09-24,2004,24.3002105263158
2004-09-25,2004,17.1554736842105
2004-09-26,2004,18.1982105263158
2004-09-27,2004,17.8864210526316
2004-09-28,2004,NA
2004-09-29,2004,20.6870175438597
2004-09-30,2004,17.3996842105263
2004-10-01,2004,19.3481052631579
2004-10-02,2004,15.8971578947368
2004-10-03,2004,16.518
2004-10-04,2004,20.4357894736842
2004-10-05,2004,16.0810526315789
2004-10-06,2004,16.7266315789474
2004-10-07,2004,19.4617894736842
2004-10-08,2004,18.6362105263158
2004-10-09,2004,15.3471578947368
2004-10-10,2004,16.4932631578947
2004-10-11,2004,16.182
2004-10-12,2004,17.0036842105263
2004-10-13,2004,14.1357894736842
2004-10-14,2004,13.4289473684211
2004-10-15,2004,16.5302105263158
2004-10-16,2004,15.1635106382979
2004-10-17,2004,14.8482105263158
2004-10-18,2004,17.6961052631579
2004-10-19,2004,18.6541052631579
2004-10-20,2004,19.0882105263158
2004-10-21,2004,21.192947368421
2004-10-22,2004,17.5067368421053
2004-10-23,2004,16.7035789473684
2004-10-24,2004,16.8989473684211
2004-10-25,2004,18.682
2004-10-26,2004,21.3747368421053
2004-10-27,2004,18.6436842105263
2004-10-28,2004,20.8661052631579
2004-10-29,2004,19.7170526315789
2004-10-30,2004,14.6887368421053
2004-10-31,2004,13.5654736842105
2004-11-01,2004,11.2129263157895
2004-11-02,2004,2.03751578947369
2004-11-03,2004,4.75967368421053
2004-11-04,2004,8.07943157894737
2004-11-05,2004,9.27688421052632
2004-11-06,2004,10.2135052631579
2004-11-07,2004,11.3675684210526
2004-11-08,2004,12.7021368421053
2004-11-09,2004,11.6254736842105
2004-11-10,2004,12.5468947368421
2004-11-11,2004,9.33472631578947
2004-11-12,2004,5.75857894736842
2004-11-13,2004,5.16376842105263
2004-11-14,2004,5.28382105263158
2004-11-15,2004,6.57361052631579
2004-11-16,2004,9.82652631578947
2004-11-17,2004,11.5131578947368
2004-11-18,2004,10.6147368421053
2004-11-19,2004,10.5043368421053
2004-11-20,2004,9.79263157894737
2004-11-21,2004,9.39526315789474
2004-11-22,2004,10.8532631578947
2004-11-23,2004,10.0545789473684
2004-11-24,2004,6.8298
2004-11-25,2004,7.56646315789474
2004-11-26,2004,8.16085263157895
2004-11-27,2004,6.66125263157895
2004-11-28,2004,6.35767368421053
2004-11-29,2004,2.77595789473684
2004-11-30,2004,1.17292631578947
2004-12-01,2004,1.65817894736842
2004-12-02,2004,2.05885263157895
2004-12-03,2004,2.74192631578947
2004-12-04,2004,3.94701052631579
2004-12-05,2004,7.99024210526315
2004-12-06,2004,5.8955052631579
2004-12-07,2004,4.83594736842105
2004-12-08,2004,5.74142105263158
2004-12-09,2004,7.64496842105263
2004-12-10,2004,6.36187368421053
2004-12-11,2004,7.7750947368421
2004-12-12,2004,8.81693684210526
2004-12-13,2004,3.82511578947368
2004-12-14,2004,1.81809473684211
2004-12-15,2004,2.43888421052632
2004-12-16,2004,3.51424210526316
2004-12-17,2004,3.4177052631579
2004-12-18,2004,4.16624210526316
2004-12-19,2004,5.53216842105263
2004-12-20,2004,8.39358947368421
2004-12-21,2004,5.49077894736842
2004-12-22,2004,0.487021052631579
2004-12-23,2004,-0.723221052631579
2004-12-25,2004,0.030347368421053
2004-12-26,2004,2.25744210526316
2004-12-27,2004,3.31698947368421
2004-12-28,2004,5.64348421052632
2004-12-29,2004,7.31373684210526
2004-12-30,2004,10.4340736842105
2004-12-31,2004,8.44562105263158
2005-01-01,2005,10.7172947368421
2005-01-02,2005,10.5588105263158
2005-01-03,2005,12.6942105263158
2005-01-04,2005,8.09192631578947
2005-01-05,2005,2.55424210526316
2005-01-06,2005,0.447105263157895
2005-01-07,2005,2.67604210526316
2005-01-08,2005,4.45653684210526
2005-01-09,2005,7.78164210526316
2005-01-10,2005,8.48271578947369
2005-01-11,2005,7.95427368421053
2005-01-12,2005,7.88674736842105
2005-01-13,2005,3.47266315789474
2005-01-14,2005,2.7126
2005-01-15,2005,-0.217242105263158
2005-01-16,2005,-2.21865263157895
2005-01-17,2005,-0.721642105263157
2005-01-18,2005,1.09484210526316
2005-01-19,2005,5.62582105263158
2005-01-20,2005,7.60396842105263
2005-01-21,2005,7.55615789473684
2005-01-22,2005,6.52865263157895
2005-01-23,2005,3.63492631578947
2005-01-24,2005,8.97410526315789
2005-01-25,2005,10.9889052631579
2005-01-26,2005,8.48734736842106
2005-01-27,2005,4.87314736842106
2005-01-28,2005,7.24676842105263
2005-01-29,2005,7.20321052631579
2005-01-30,2005,3.76335789473684
2005-01-31,2005,3.65010526315789
2005-02-01,2005,1.54950526315789
2005-02-02,2005,3.30298947368421
2005-02-03,2005,4.65676842105263
2005-02-04,2005,4.97034736842105
2005-02-05,2005,4.78204210526316
2005-02-06,2005,6.95841052631579
2005-02-07,2005,5.60062105263158
2005-02-08,2005,7.36632631578947
2005-02-09,2005,6.04696842105263
2005-02-10,2005,3.5362947368421
2005-02-11,2005,6.70955789473684
2005-02-12,2005,7.62893684210527
2005-02-13,2005,10.9763052631579
2005-02-14,2005,10.9389684210526
2005-02-15,2005,12.6028
2005-02-16,2005,9.45414736842105
2005-02-17,2005,6.63668421052632
2005-02-18,2005,5.20212631578947
2005-02-19,2005,10.4467789473684
2005-02-20,2005,11.3314736842105
2005-02-21,2005,11.7926315789474
2005-02-22,2005,12.8795368421053
2005-02-23,2005,8.84373684210526
2005-02-24,2005,7.59056842105263
2005-02-25,2005,6.06727368421053
2005-02-26,2005,6.27802105263158
2005-02-27,2005,8.3364
2005-02-28,2005,9.53734736842105
2005-03-01,2005,7.8487052631579
2005-03-02,2005,NA
2005-03-03,2005,NA
2005-03-04,2005,NA
2005-03-05,2005,NA
2005-03-06,2005,NA
2005-03-07,2005,NA
2005-03-08,2005,NA
2005-03-09,2005,NA
2005-03-10,2005,NA
2005-03-11,2005,NA
2005-03-12,2005,NA
2005-03-13,2005,NA
2005-03-14,2005,NA
2005-03-15,2005,NA
2005-03-16,2005,NA
2005-03-17,2005,NA
2005-03-18,2005,NA
2005-03-19,2005,NA
2005-03-20,2005,NA
2005-03-21,2005,NA
2005-03-22,2005,NA
2005-03-23,2005,NA
2005-03-24,2005,NA
2005-03-25,2005,NA
2005-03-26,2005,NA
2005-03-27,2005,NA
2005-03-28,2005,NA
2005-03-29,2005,NA
2005-03-30,2005,NA
2005-03-31,2005,NA
2005-04-01,2005,NA
2005-04-02,2005,NA
2005-04-03,2005,NA
2005-04-04,2005,NA
2005-04-05,2005,NA
2005-04-06,2005,NA
2005-04-07,2005,NA
2005-04-08,2005,NA
2005-04-09,2005,NA
2005-04-10,2005,NA
2005-04-11,2005,NA
2005-04-12,2005,NA
2005-04-13,2005,18.1941052631579
2005-04-14,2005,18.4961052631579
2005-04-15,2005,18.8122105263158
2005-04-16,2005,18.8107368421053
2005-04-17,2005,17.5842105263158
2005-04-18,2005,19.9605263157895
2005-04-19,2005,21.8448421052632
2005-04-20,2005,22.386
2005-04-21,2005,21.5382105263158
2005-04-22,2005,19.8215789473684
2005-04-23,2005,19.8198947368421
2005-04-24,2005,13.0905263157895
2005-04-25,2005,14.8096842105263
2005-04-26,2005,14.1586315789474
2005-04-27,2005,17.8211578947368
2005-04-28,2005,20.1692631578947
2005-04-29,2005,18.8765263157895
2005-04-30,2005,18.3569473684211
2005-05-01,2005,18.2793684210526
2005-05-02,2005,12.0833684210526
2005-05-03,2005,10.4658947368421
2005-05-04,2005,11.3724210526316
2005-05-05,2005,15.7623157894737
2005-05-06,2005,17.9093684210526
2005-05-07,2005,20.7694736842105
2005-05-08,2005,21.2875789473684
2005-05-09,2005,21.9935789473684
2005-05-10,2005,23.684947368421
2005-05-11,2005,25.1372631578947
2005-05-12,2005,24.8327368421053
2005-05-13,2005,25.6238947368421
2005-05-14,2005,24.3278947368421
2005-05-15,2005,18.0138947368421
2005-05-16,2005,19.0997894736842
2005-05-17,2005,22.194
2005-05-18,2005,24.1410526315789
2005-05-19,2005,25.6228421052632
2005-05-20,2005,27.3334736842105
2005-05-21,2005,27.3188421052631
2005-05-22,2005,28.0148421052632
2005-05-23,2005,28.2706315789473
2005-05-24,2005,28.7682105263158
2005-05-25,2005,26.5587368421053
2005-05-26,2005,22.1055789473684
2005-05-27,2005,23.0254736842105
2005-05-28,2005,21.3628421052632
2005-05-29,2005,22.736
2005-05-30,2005,24.364
2005-05-31,2005,23.7248421052632
2005-06-01,2005,24.2429473684211
2005-06-02,2005,25.5072631578947
2005-06-03,2005,22.9130526315789
2005-06-04,2005,24.7638947368421
2005-06-05,2005,24.2805263157895
2005-06-06,2005,23.4697894736842
2005-06-07,2005,26.1435789473684
2005-06-08,2005,27.3101052631579
2005-06-09,2005,26.8896842105263
2005-06-10,2005,25.4268421052632
2005-06-11,2005,27.0518947368421
2005-06-12,2005,26.3367368421053
2005-06-13,2005,27.6905263157895
2005-06-14,2005,26.5262105263158
2005-06-15,2005,28.0154736842105
2005-06-16,2005,27.8717894736842
2005-06-17,2005,26.5207368421053
2005-06-18,2005,28.9765263157895
2005-06-19,2005,29.7472631578947
2005-06-20,2005,29.9374736842105
2005-06-21,2005,29.9905263157895
2005-06-22,2005,29.3890526315789
2005-06-23,2005,29.1391578947369
2005-06-24,2005,29.1768421052632
2005-06-25,2005,28.9868421052632
2005-06-26,2005,29.3087368421053
2005-06-27,2005,30.2063157894737
2005-06-28,2005,30.1593684210527
2005-06-29,2005,30.1583157894737
2005-06-30,2005,30.5911578947368
2005-07-01,2005,29.5963157894737
2005-07-02,2005,29.4098947368421
2005-07-03,2005,31.1113684210526
2005-07-04,2005,31.7365263157895
2005-07-05,2005,29.4525263157895
2005-07-06,2005,28.0915789473684
2005-07-07,2005,26.8024210526316
2005-07-08,2005,27.3514736842105
2005-07-09,2005,28.1251578947368
2005-07-10,2005,29.778
2005-07-11,2005,30.644
2005-07-12,2005,29.9095789473684
2005-07-13,2005,30.8952631578947
2005-07-14,2005,31.4942105263158
2005-07-15,2005,30.8774736842105
2005-07-16,2005,31.5528421052632
2005-07-17,2005,31.1882105263158
2005-07-18,2005,31.8
2005-07-19,2005,31.7870526315789
2005-07-20,2005,31.6205263157895
2005-07-21,2005,31.3234736842105
2005-07-22,2005,32.4426315789474
2005-07-23,2005,32.8114736842105
2005-07-24,2005,32.0893684210526
2005-07-25,2005,32.2852631578947
2005-07-26,2005,28.7182105263158
2005-07-27,2005,21.3902105263158
2005-07-28,2005,24.2874736842105
2005-07-29,2005,27.0395789473684
2005-07-30,2005,29.61
2005-07-31,2005,30.4718947368421
2005-08-01,2005,29.9713684210526
2005-08-02,2005,30.078
2005-08-03,2005,30.0868421052631
2005-08-04,2005,30.920947368421
2005-08-05,2005,25.2140425531915
2005-08-31,2005,27.0031578947368
2005-09-01,2005,27.0984210526316
2005-09-02,2005,27.830947368421
2005-09-03,2005,27.7169473684211
2005-09-04,2005,27.3311578947368
2005-09-05,2005,26.2603157894737
2005-09-06,2005,26.7555789473684
2005-09-07,2005,27.1948421052632
2005-09-08,2005,26.5846315789474
2005-09-11,2005,27.2829473684211
2005-09-12,2005,28.212
2005-09-13,2005,26.7851578947368
2005-09-14,2005,25.1752631578948
2005-09-15,2005,25.7985263157895
2005-09-16,2005,24.972947368421
2005-09-17,2005,25.9590526315789
2005-09-18,2005,27.1548421052632
2005-09-19,2005,27.1122105263158
2005-09-20,2005,27.3391578947368
2005-09-21,2005,26.6048421052632
2005-09-22,2005,26.926947368421
2005-09-23,2005,26.5524210526316
2005-09-24,2005,26.7298947368421
2005-09-25,2005,26.7567368421053
2005-09-26,2005,25.6436842105263
2005-09-27,2005,25.7166315789474
2005-09-28,2005,26.3784210526316
2005-09-29,2005,21.7331578947368
2005-09-30,2005,22.47
2005-10-01,2005,24.1197894736842
2005-10-02,2005,24.6369473684211
2005-10-03,2005,24.8667368421053
2005-10-04,2005,24.8598947368421
2005-10-05,2005,22.9657894736842
2005-10-06,2005,13.6113684210526
2005-10-07,2005,15.2157894736842
2005-10-08,2005,15.4463157894737
2005-10-09,2005,14.7775789473684
2005-10-10,2005,16.1906315789474
2005-10-11,2005,15.2172631578947
2005-10-12,2005,16.5331578947368
2005-10-13,2005,16.3756842105263
2005-10-14,2005,17.0985263157895
2005-10-15,2005,16.7715789473684
2005-10-16,2005,18.0838947368421
2005-10-17,2005,19.1456842105263
2005-10-18,2005,19.1511578947368
2005-10-19,2005,20.3618947368421
2005-10-20,2005,18.0818947368421
2005-10-21,2005,18.1661052631579
2005-10-22,2005,17.5324210526316
2005-10-23,2005,12.9091578947368
2005-10-24,2005,12.3954736842105
2005-10-25,2005,13.3395789473684
2005-10-26,2005,15.1155789473684
2005-10-27,2005,15.3770526315789
2005-10-28,2005,14.3161052631579
2005-10-29,2005,13.842
2005-10-30,2005,16.8782105263158
2005-10-31,2005,14.6055789473684
2005-11-01,2005,13.206947368421
2005-11-02,2005,14.5058947368421
2005-11-03,2005,16.3011578947368
