"Date_time","Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbr","Maize_slope_1to1","Maize_yint_1to1","Maize_R2_1to1","Maize_RMSE_1to1","Maize_mNSE_1to1","Maize_pbias_1to1","Maize_diff","Soy_slope_1to1","Soy_yint_1to1","Soy_R2_1to1","Soy_RMSE_1to1","Soy_mNSE_1to1","Soy_pbias_1to1","Soy_diff","Wheat_slope_1to1","Wheat_yint_1to1","Wheat_R2_1to1","Wheat_RMSE_1to1","Wheat_mNSE_1to1","Wheat_pbias_1to1","Wheat_diff","SOC_slope_1to1","SOC_yint_1to1","SOC_R2_1to1","SOC_RMSE_1to1","SOC_mNSE_1to1","SOC_pbias_1to1","SOC_diff","SOC_diff_noout","Temp_slope_1to1","Temp_yint_1to1","Temp_R2_1to1","Temp_RMSE_1to1","Temp_mNSE_1to1","Temp_pbias_1to1","Temp_diff","Moist_slope_1to1","Moist_yint_1to1","Moist_R2_1to1","Moist_RMSE_1to1","Moist_mNSE_1to1","Moist_pbias_1to1","Moist_diff","N2O_slope_1to1","N2O_yint_1to1","N2O_R2_1to1","N2O_RMSE_1to1","N2O_mNSE_1to1","N2O_pbias_1to1","N2O_diff","CH4_slope_1to1","CH4_yint_1to1","CH4_R2_1to1","CH4_RMSE_1to1","CH4_mNSE_1to1","CH4_pbias_1to1","CH4_diff","MBio_slope_1to1","MBio_yint_1to1","MBio_R2_1to1","MBio_RMSE_1to1","MBio_diff","Cotton_slope_1to1","Cotton_yint_1to1","Cotton_R2_1to1","Cotton_RMSE_1to1","Cotton_diff","Sorghum_slope_1to1","Sorghum_yint_1to1","Sorghum_R2_1to1","Sorghum_RMSE_1to1","Sorghum_diff","Maize_cultivar","Soybean_cultivar","Wheat_cultivar","Cotton_cultivar","Sorghum_cultivar","Maize_slope_time","Maize_yint_time","Maize_R2_time","Maize_RMSE_time","Soy_slope_time","Soy_yint_time","Soy_R2_time","Soy_RMSE_time","Wheat_slope_time","Wheat_yint_time","Wheat_R2_time","Wheat_RMSE_time","SOC_slope_time","SOC_yint_time","SOC_R2_time","SOC_RMSE_time","SOC_slope_time_noout","SOC_yint_time_noout","SOC_R2_time_noout","SOC_RMSE_time_noout","Temp_slope_time","Temp_yint_time","Temp_R2_time","Temp_RMSE_time","Moist_slope_time","Moist_yint_time","Moist_R2_time","Moist_RMSE_time","N2O_slope_time","N2O_yint_time","N2O_R2_time","N2O_RMSE_time","CH4_slope_time","CH4_yint_time","CH4_R2_time","CH4_RMSE_time","MBio_slope_time","MBio_yint_time","MBio_R2_time","MBio_RMSE_time","Cotton_slope_time","Cotton_yint_time","Cotton_R2_time","Cotton_RMSE_time","Sorghum_slope_time","Sorghum_yint_time","Sorghum_R2_time","Sorghum_RMSE_time","Maize_wNSE_1to1","Soy_wNSE_1to1","Wheat_wNSE_1to1","SOC_wNSE_1to1","Temp_wNSE_1to1","Moist_wNSE_1to1","N2O_wNSE_1to1","CH4_wNSE_1to1"
"2025-06-28 15:17:08","Observed",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.175645454545451",NA,"0.53",NA,"0.0357818181818164",NA,"0.12",NA,"0.0807060606060593",NA,"0.6",NA,"0.872157073695679",NA,"0.09",NA,0.0474625468164741,NA,0.02,NA,"0.0474625468164741",NA,"0.02",NA,"-7.90582853568845e-05",NA,"0",NA,"0.060839707661915",NA,"0",NA,"-0.000193895148183208",NA,"0",NA,"0.000131996821925542",NA,"0.03",NA,"0.0715333333333298",NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-06-28 15:18:15","APSIM",1,3,"1_3","CC-CR","0.0745620146124921","5.06367011419639","0.05","2.54",-0.07,"-17.6","13.068","0.186998845090657","2.01681414703674","0.04","1.25",-0.22,"-9.4","2.888","1.00595222458608","-0.0674101807326166","0.72","0.59",0.36,"-1.4","0.470999999999999","0.0297927553847359","33.6734662208136","0.25","10.72",-0.04,"1.8","-4.96000000000001","-6.13833333333334","1.03282083216589","4.50659344643755","0.78","6.41",0.18,"39.8","-4.91198830409357","0.620297792194954","9.80455677684944","0.47","5.4",0.28,"7.6","-1.62621359223301","0.0845138890419891","1.57852007399849","0.03","7.82",0.01,"-46.8","428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0116787878787875","-17.8486060606052","0.02","2.54","-0.0259545454545467","54.6059090909116","0.07","1.25","0.0980141414141416","-193.202260606061","0.57","0.59","0.210127005347597","-384.604645721932","0.99","10.28",0.210131006388298,-384.015651328581,0.99,1.91,"0.211237385427275","-386.844296824368","0.99","1.55","0.000108899222555189","11.2358513927032","0","6.41","4.53576243532393e-05","23.9793036458045","0","5.4","7.30338130282513e-05","0.930267507928566","0.01","7.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.07","-0.22","0.36","0.02","0.18","0.28","0.05",NA
"2025-06-28 15:20:50","Daycent",1,3,"1_3","CC-CR","0.162030286677749","3.19370669540776","0.25","3.19",-0.3,"-36.5","27.1379177777778","0.642759839668024","0.647560796987306","0.73","0.62",0.35,"-12.6","3.89411777777778","0.887575109543475","0.313170433437978","0.48","0.88",0.08,"-2.1","0.704457777777777","0.038742593249529","31.9294489738835","0.18","10.67",0.03,"-2.8","-34.56","-39.6383333333333","0.889312873539635","4.44653692487288","0.82","4.5",0.47,"24.9","-3.0793567251462","0.667937139303827","4.51600928596563","0.42","6.33",0.16,"-12.2","2.63623786407767","0.155182620522583","1.76734987801742","0.1","7.17",0.19,"-34.4","314.4955","0.0213454549008724","-1.09237810567391","0.01","1.81",0.02,"2.5","6.788125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00454122383252908","-4.78692156199859","0","3.17","0.0374074457791107","-72.3729025492124","0.24","0.59","0.0347469925925978","-66.4739510518622","0.1","0.54","0.154278074866312","-274.691176470592","0.88","10.27",0.151664197759467,-269.434510693454,0.88,1.89,"0.151664197759467","-269.434510693454","0.88","1.89","0.000102644572565134","10.3739184037558","0","4.5","0.000137520445723988","20.8206349069655","0","6.33","1.77669851038831e-05","2.12030878761198","0","7.17","6.44417369521758e-06","-1.02450783596294","0","1.81",NA,NA,NA,NA,NA,NA,NA,NA,"-0.3","0.35","0.08","0.03","0.47","0.16","0.19","0"
"2025-06-28 15:21:03","RothC",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0634613228307774","31.4823455037787","0.13","10.52",-0.26,"-1.3","-4.26700000000001","-8.32613333333334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.265603342245994","-496.245155748672","0.94","10.11",0.237357023655218,-436.34118028192,0.93,3.44,"0.262389007962226","-489.778657453014","0.94","1.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.06",NA,NA,NA,NA
"2025-06-29 10:25:17","Observed",1,53,"1_53","RR00-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0596275818902573",NA,"0.08",NA,"0.0354418944293775",NA,"0.17",NA,"0.0839",NA,"0.39",NA,"0.306809888829209",NA,"0.03",NA,-0.184244499063672,NA,0.24,NA,"-0.184244499063672",NA,"0.24",NA,"-8.49338491581378e-05",NA,"0",NA,"0.0510049988119919",NA,"0",NA,"4.78450342713599e-05",NA,"0",NA,"0.000141415855941766",NA,"0.04",NA,"0.0709752688172026",NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-06-28 16:00:53","APSIM",1,53,"1_53","RR00-CR","0.211616491710539","5.70604933496221","0.31","1.85",0.14,"2.8","-2.369","0.459896704402316","0.981754080524617","0.27","0.89",0.07,"-15.4","4.684","0.592954453296457","2.08485773696312","0.57","0.84",0.2,"12.2","-4.325","0.0421260193442088","29.7857072394203","0.08","6.83",-0.11,"5.3","-11.6379166666667","1.49208333333333","1.03067609072197","4.56052588457782","0.78","6.43",0.18,"40","-4.93906705539359","0.746700920692673","7.48995625668299","0.59","4.99",0.22,"11.5","-2.33333333333333","0.260194045128221","2.71829268748319","0.05","7.43",-0.48,"16.6","-140.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0188399749634883","-30.565933166423","0.05","1.85","0.0226290423534329","-43.2154893247114","0.09","0.89","0.0330166666666666","-61.842561111111","0.1","0.84","0.266677807486635","-501.449610071308","0.98","6.72",0.266364225534673,-499.352559948154,0.98,2.75,"0.269571104527359","-507.281092028517","0.98","2.41","0.00010884219471041","11.2361593878783","0","6.43","4.62043898126563e-05","23.5881701664308","0","4.99","0.000184634240083197","0.420957358040202","0.01","7.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.14","0.07","0.2","0.05","0.18","0.22","-0.22",NA
"2025-06-28 16:08:11","Daycent",1,53,"1_53","RR00-CR","0.692471247523281","2.30845731277999","0.44","1.81",0.21,"2.3","-1.91612444444445","0.834093102254443","0.426273944444071","0.73","0.45",0.51,"0.2","-0.0576155555555538","0.372391960042319","2.35214285852358","0.19","1.04",0.1,"-3.1","1.09322666666667","0.0363676612087241","30.4554213220469","0.06","6.99",0,"7","-65.9379166666667","-52.2079166666667","0.724907652146668","5.57523577703794","0.75","4.39",0.49,"17.7","-2.18061224489796","0.717952579467026","3.42932812486982","0.56","5.15",0.25,"-11.4","2.31254901960784","0.214227786191263","2.58904279662979","0.05","6.91",-0.07,"7.7","-65.2172","0.0176834095669746","-1.15410842322342","0","1.66",0,"-2","-6.21835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0916832492060836","-177.257522795698","0.24","1.41","0.0430183085892476","-83.7395521998497","0.21","0.52","0.0563179894179929","-108.930561428578","0.23","0.98","0.233054812834228","-433.80823306596","0.98","6.81",0.234366030923063,-436.450761503565,0.98,2.28,"0.234366030923063","-436.450761503565","0.98","2.28","5.31214738715403e-05","10.98493724938","0","4.39","0.000139148121297085","19.6468213889059","0","5.15","-9.11184860856487e-05","4.25277649783782","0","6.91","8.31239169954533e-06","-1.06978239925884","0","1.66",NA,NA,NA,NA,NA,NA,NA,NA,"0.21","0.51","0.1","0","0.49","0.25","-0.07","-0.02"
"2025-06-28 16:08:28","RothC",1,53,"1_53","RR00-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00577492157482259","30.6522774598719","0.12","6.96",-0.75,"4.6","-20.1203166666667","-7.74761666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0685931818181833","-106.161638636367","0.63","6.71",0.0357299555596707,-35.9429211924827,0.29,4.85,"0.0691101726691973","-107.202089533377","0.61","1.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07",NA,NA,NA,NA
"2025-06-28 16:35:08","Observed",1,56,"1_56","RR00-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.151485916962238",NA,"0.35",NA,"0.0411746296682675",NA,"0.28",NA,"0.0787666666666667",NA,"0.43",NA,"0.312365519096375",NA,"0.03",NA,-0.156899578651686,NA,0.22,NA,"-0.156899578651686",NA,"0.22",NA,"-0.00014777048403858",NA,"0",NA,"-0.0108491413103267",NA,"0",NA,"6.56370487913947e-05",NA,"0",NA,"0.000199913473381385",NA,"0.08",NA,"-0.0497311827956995",NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-06-28 16:36:13","APSIM",1,56,"1_56","RR00-NT-CR","0.162723296302994","6.03576110807055","0.28","2.31",0.07,"-7.3","6.938","0.386683022217038","0.989103862652015","0.12","1.23",-0.26,"-27.1","9.392","0.693401058802014","1.73385848271383","0.56","0.81",0.26,"12.5","-4.527","0.0347422389993805","34.9068882753958","0.07","7.28",0.06,"7.5","-23.6875","-4.77500000000001","1.02171372457798","4.39883881093474","0.79","6.2",0.22,"37.1","-4.67222222222222","0.697155317433892","7.86439514079941","0.52","4.99",0.25,"6.7","-1.42233009708738","0.202295012764102","3.07608519527162","0.03","8.01",-0.44,"6.3","-61.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0113962027957437","-15.5139746853047","0.02","2.31","0.0149605674942632","-27.8860310174575","0.03","1.23","0.0279222222222222","-51.5223444444444","0.06","0.81","0.24842914438503","-459.976192067743","0.98","7.07",0.251270715674475,-465.703402462737,0.98,2.2,"0.251270715674475","-465.703402462737","0.98","2.2","0.000108831866881576","11.2363347819551","0","6.2","4.0364663943989e-05","23.7084412753078","0","4.99","0.000238315608993944","0.0457942218157328","0.02","8.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07","-0.26","0.26","0.06","0.22","0.25","-0.22",NA
"2025-06-28 16:38:49","Daycent",1,56,"1_56","RR00-NT-CR","0.712568257176606","1.27323285084664","0.71","1.69",0.43,"-12.6","11.9674355555556","0.838095550938697","0.255413117411411","0.66","0.53",0.4,"-7.3","2.54762222222222","0.446816759262845","2.31535053135392","0.22","0.95",0.01,"2.4","-0.851091111111109","0.0435241291025895","34.0758323495461","0.08","7.08",0.03,"5.9","-68.2875","-51.175","0.794426909871497","4.27621979176701","0.82","3.71",0.58,"13.4","-1.68798245614035","0.68675472470955","4.10275872001336","0.55","5.22",0.25,"-12","2.56054611650485","0.156581229705684","2.34996220324322","0.02","7.85",-0.03,"-18.6","183.0519","0.024983348728899","-1.28580685476902","0.01","1.7",-0.01,"23.6","61.818175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0512415495756493","-96.3468083870963","0.07","1.95","0.0495489512575413","-96.7044939224447","0.3","0.63","0.0499244444444473","-95.7186718518576","0.23","0.76","0.3538770053476","-670.671880570424","1","6.85",0.352652532172948,-668.203823720028,1,2.1,"0.352652532172948","-668.203823720028","1","2.1","0.000104653092189171","9.62848906367338","0","3.71","9.95770986574526e-05","20.469391718464","0","5.22","-0.000149423042580933","4.94028923564823","0","7.85","5.81807121406113e-06","-1.16853971859623","0","1.7",NA,NA,NA,NA,NA,NA,NA,NA,"0.43","0.4","0.01","0.03","0.58","0.25","-0.03","-0.06"
"2025-06-28 16:39:05","RothC",1,56,"1_56","RR00-NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.00413907714214701","35.0595465651099","0.01","7.2",0.13,"3.9","-38.995","-22.8426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00331340240641756","28.2378554478601","0.01","6.91",0.0034213683918154,28.0232400518474,0.01,1.26,"0.0034213683918154","28.0232400518474","0.01","1.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.13",NA,NA,NA,NA
