"year","Observed","Obs_sd","APSIM","Daycent","RothC","treatment_scen"
1989,35.2116666666667,4.33021208102636,33.4,31.5,31.8593,"Cover Crop, Crop Rotation"
1990,NA,NA,33.2,31.4,31.3988,"Cover Crop, Crop Rotation"
1991,32.745,4.4384580655899,33.2,31.6,31.9056,"Cover Crop, Crop Rotation"
1992,33.855,4.46919567707658,34.5,31.8,32.5215,"Cover Crop, Crop Rotation"
1993,9.86666666666667,1.33747024889029,34.2,32,32.2444,"Cover Crop, Crop Rotation"
1994,32.9916666666667,7.25583742008231,34.3,32.7,32.9747,"Cover Crop, Crop Rotation"
1995,36.5066666666667,4.52349275081399,34.7,33.4,33.7376,"Cover Crop, Crop Rotation"
1996,32.1283333333333,4.00842820400549,34.7,33.9,33.484,"Cover Crop, Crop Rotation"
1997,33.115,4.86799650780483,34.8,33.7,34.1869,"Cover Crop, Crop Rotation"
1998,61.1116666666667,16.4962194658857,35.6,33.9,34.6748,"Cover Crop, Crop Rotation"
1999,33.1766666666667,4.21648510808074,35.3,34.1,34.8514,"Cover Crop, Crop Rotation"
2000,35.705,3.46893499506693,35.6,34.4,35.1301,"Cover Crop, Crop Rotation"
2001,35.0266666666667,4.0508945514129,36.1,34.3,35.6426,"Cover Crop, Crop Rotation"
2002,NA,NA,36.2,34.6,36.2844,"Cover Crop, Crop Rotation"
2003,NA,NA,36.3,34.7,36.2102,"Cover Crop, Crop Rotation"
2004,NA,NA,36.8,34.7,36.5826,"Cover Crop, Crop Rotation"
2005,NA,NA,36.7,35,36.5228,"Cover Crop, Crop Rotation"
2006,NA,NA,36.9,35.6,37.6055,"Cover Crop, Crop Rotation"
2007,NA,NA,37.2,35.7,38.2747,"Cover Crop, Crop Rotation"
2008,NA,NA,37.2,35.9,38.4391,"Cover Crop, Crop Rotation"
2009,NA,NA,37.3,35.8,37.6171,"Cover Crop, Crop Rotation"
2010,NA,NA,38.1,35.6,37.3538,"Cover Crop, Crop Rotation"
2011,NA,NA,38.2,35.9,38.0852,"Cover Crop, Crop Rotation"
2012,NA,NA,38.2,35.8,38.1696,"Cover Crop, Crop Rotation"
2013,NA,NA,38.4,36,38.5615,"Cover Crop, Crop Rotation"
2014,NA,NA,38.3,36.2,39.1368,"Cover Crop, Crop Rotation"
2015,NA,NA,38.4,36,38.7262,"Cover Crop, Crop Rotation"
2016,NA,NA,39.3,35.9,38.8444,"Cover Crop, Crop Rotation"
2017,NA,NA,39.2,36,38.5409,"Cover Crop, Crop Rotation"
2018,NA,NA,39.4,36.3,38.5907,"Cover Crop, Crop Rotation"
2019,NA,NA,39.7,36,38.902,"Cover Crop, Crop Rotation"
2020,NA,NA,39.8,36.3,39.7476,"Cover Crop, Crop Rotation"
2021,NA,NA,39.9,36.3,40.7482,"Cover Crop, Crop Rotation"
1989,33.4629166666667,7.63912649074923,28,29.2,30.7387,"Rmv Resid 0%, Crop Rotation"
1990,NA,NA,28.1,29.1,30.8212,"Rmv Resid 0%, Crop Rotation"
1991,31.47625,6.92389228505181,29.3,29.3,30.5524,"Rmv Resid 0%, Crop Rotation"
1992,29.1791666666667,5.79793188703236,29.4,30.4,30.9408,"Rmv Resid 0%, Crop Rotation"
1993,9.62291666666667,1.53435036470379,30.3,30.8,30.6644,"Rmv Resid 0%, Crop Rotation"
1994,31.3520833333333,6.50080983737154,30.6,31.2,30.8378,"Rmv Resid 0%, Crop Rotation"
1995,30.9175,7.5535799459594,30.9,31.7,30.8647,"Rmv Resid 0%, Crop Rotation"
1996,31.7245833333333,3.50559246656919,31.1,32,30.8345,"Rmv Resid 0%, Crop Rotation"
1997,29.1791666666667,6.34198799010741,31.5,31.7,30.8909,"Rmv Resid 0%, Crop Rotation"
1998,39.5470833333333,9.96579643288316,32,32.1,30.8783,"Rmv Resid 0%, Crop Rotation"
1999,32.0970833333333,7.75092452818802,31.7,32.4,30.8838,"Rmv Resid 0%, Crop Rotation"
2000,30.35875,6.75756478881261,32,32.4,30.9195,"Rmv Resid 0%, Crop Rotation"
2001,28.7445833333333,6.86216045000892,32.5,32.8,30.887,"Rmv Resid 0%, Crop Rotation"
2002,NA,NA,32.7,33.2,31.132,"Rmv Resid 0%, Crop Rotation"
2003,NA,NA,33,33.1,31.1547,"Rmv Resid 0%, Crop Rotation"
2004,NA,NA,33.4,33.5,31.0891,"Rmv Resid 0%, Crop Rotation"
2005,NA,NA,33.3,33.7,30.9978,"Rmv Resid 0%, Crop Rotation"
2006,NA,NA,33.7,33.5,31.0381,"Rmv Resid 0%, Crop Rotation"
2007,NA,NA,33.9,33.9,30.9855,"Rmv Resid 0%, Crop Rotation"
2008,NA,NA,34,34.1,30.9275,"Rmv Resid 0%, Crop Rotation"
2009,NA,NA,34.2,34.1,30.9788,"Rmv Resid 0%, Crop Rotation"
2010,NA,NA,34.9,34.6,30.9572,"Rmv Resid 0%, Crop Rotation"
2011,NA,NA,34.8,34.8,31.0132,"Rmv Resid 0%, Crop Rotation"
2012,NA,NA,35.1,34.8,31.4641,"Rmv Resid 0%, Crop Rotation"
2013,NA,NA,35.3,35.5,31.7746,"Rmv Resid 0%, Crop Rotation"
2014,NA,NA,35.3,35.8,31.9219,"Rmv Resid 0%, Crop Rotation"
2015,NA,NA,35.6,35.6,32.3753,"Rmv Resid 0%, Crop Rotation"
2016,NA,NA,36.4,36.1,32.508,"Rmv Resid 0%, Crop Rotation"
2017,NA,NA,36.3,36.1,32.1067,"Rmv Resid 0%, Crop Rotation"
2018,NA,NA,36.6,36.1,32.3813,"Rmv Resid 0%, Crop Rotation"
2019,NA,NA,36.8,36.7,32.4772,"Rmv Resid 0%, Crop Rotation"
2020,NA,NA,37,37.2,32.5663,"Rmv Resid 0%, Crop Rotation"
2021,NA,NA,37.2,36.9,34.5705,"Rmv Resid 0%, Crop Rotation"
1989,37.1875,7.52402402308765,33.2,33.8,35.4813,"Rmv Resid 0%, No Till, Crop Rotation"
1990,NA,NA,33.3,33.9,35.4308,"Rmv Resid 0%, No Till, Crop Rotation"
1991,35.75,4.43494644838018,34.3,34,35.132,"Rmv Resid 0%, No Till, Crop Rotation"
1992,33.375,4.88364617882991,35,34.2,35.2671,"Rmv Resid 0%, No Till, Crop Rotation"
1993,12.3125,2.11357221310274,35.4,34.5,34.9924,"Rmv Resid 0%, No Till, Crop Rotation"
1994,35.7,4.97069537388885,35.4,34.7,34.9635,"Rmv Resid 0%, No Till, Crop Rotation"
1995,36.675,2.56265243449048,36.1,35.1,34.8619,"Rmv Resid 0%, No Till, Crop Rotation"
1996,34.65,5.53426824431198,36.2,35.6,34.8461,"Rmv Resid 0%, No Till, Crop Rotation"
1997,36.525,4.79941402673284,36.4,35.8,34.765,"Rmv Resid 0%, No Till, Crop Rotation"
1998,41.175,3.06262754836431,37,36.1,34.6475,"Rmv Resid 0%, No Till, Crop Rotation"
1999,35.025,5.22718255851085,36.6,36.7,34.689,"Rmv Resid 0%, No Till, Crop Rotation"
2000,34.6875,6.06874678166753,37,36.9,34.7165,"Rmv Resid 0%, No Till, Crop Rotation"
2001,33.25,5.93717104351896,37.4,37.3,34.6705,"Rmv Resid 0%, No Till, Crop Rotation"
2002,NA,NA,37.6,37.9,34.8341,"Rmv Resid 0%, No Till, Crop Rotation"
2003,NA,NA,38,38.1,34.7174,"Rmv Resid 0%, No Till, Crop Rotation"
2004,NA,NA,38.4,38.5,34.5671,"Rmv Resid 0%, No Till, Crop Rotation"
2005,NA,NA,38.3,39,34.493,"Rmv Resid 0%, No Till, Crop Rotation"
2006,NA,NA,38.5,39.1,34.5081,"Rmv Resid 0%, No Till, Crop Rotation"
2007,NA,NA,38.7,39.6,34.4354,"Rmv Resid 0%, No Till, Crop Rotation"
2008,NA,NA,38.8,40,34.3761,"Rmv Resid 0%, No Till, Crop Rotation"
2009,NA,NA,38.9,40.2,34.3735,"Rmv Resid 0%, No Till, Crop Rotation"
2010,NA,NA,39.6,40.5,34.3006,"Rmv Resid 0%, No Till, Crop Rotation"
2011,NA,NA,39.5,41,34.3078,"Rmv Resid 0%, No Till, Crop Rotation"
2012,NA,NA,39.7,41.2,34.6093,"Rmv Resid 0%, No Till, Crop Rotation"
2013,NA,NA,40,41.7,34.8049,"Rmv Resid 0%, No Till, Crop Rotation"
2014,NA,NA,40,42.3,34.9684,"Rmv Resid 0%, No Till, Crop Rotation"
2015,NA,NA,40.4,42.4,35.2537,"Rmv Resid 0%, No Till, Crop Rotation"
2016,NA,NA,41,42.9,35.2841,"Rmv Resid 0%, No Till, Crop Rotation"
2017,NA,NA,40.9,43.2,34.9335,"Rmv Resid 0%, No Till, Crop Rotation"
2018,NA,NA,41.3,43.3,35.0775,"Rmv Resid 0%, No Till, Crop Rotation"
2019,NA,NA,41.6,43.8,35.0875,"Rmv Resid 0%, No Till, Crop Rotation"
2020,NA,NA,41.7,44.3,35.1327,"Rmv Resid 0%, No Till, Crop Rotation"
2021,NA,NA,41.9,44.5,36.5522,"Rmv Resid 0%, No Till, Crop Rotation"
